model;exploration;strategy;alpha;gamma;epsilon;similarity;child_profile;success_rate_mean;success_rate_std;avg_attempts_mean;avg_attempts_std
Double-Q-Learning;ucb;C;0.3;0.6;0.15;euclidean;consistent;90.33333333333333;0.4714045207910317;3.016666666666666;0.11025223605694154
Double-Q-Learning;ucb;D;0.3;0.6;0.15;cosine;consistent;80.0;5.656854249492381;3.1566666666666663;0.10656244908763858
Double-Q-Learning;ucb;D;0.3;0.6;0.15;euclidean;consistent;68.33333333333333;2.8674417556808756;3.356666666666667;0.15326085243430204
Double-Q-Learning;ucb;E;0.3;0.6;0.15;cosine;consistent;80.0;2.449489742783178;3.2866666666666666;0.16819301082057156
Double-Q-Learning;ucb;E;0.3;0.6;0.15;euclidean;consistent;81.66666666666667;3.2998316455372216;3.19;0.09797958971132721
Actor-Critic;epsilon_greedy;A;0.3;0.6;0.15;cosine;consistent;75.66666666666667;1.247219128924647;2.7266666666666666;0.06548960901462839
Actor-Critic;epsilon_greedy;A;0.3;0.6;0.15;euclidean;consistent;81.0;2.160246899469287;2.6433333333333335;0.10964589468932351
Actor-Critic;epsilon_greedy;B;0.3;0.6;0.15;cosine;consistent;74.33333333333333;7.3181661333667165;3.026666666666667;0.27475241379993165
Actor-Critic;epsilon_greedy;B;0.3;0.6;0.15;euclidean;consistent;75.33333333333333;3.0912061651652345;2.9466666666666668;0.15107025591499554
Actor-Critic;epsilon_greedy;C;0.3;0.6;0.15;cosine;consistent;84.66666666666667;0.4714045207910317;3.0500000000000003;0.14514360704718152
Actor-Critic;epsilon_greedy;C;0.3;0.6;0.15;euclidean;consistent;89.0;2.160246899469287;2.856666666666667;0.17461067804945077
Actor-Critic;epsilon_greedy;D;0.3;0.6;0.15;cosine;consistent;88.0;2.943920288775949;2.75;0.16329931618554536
Actor-Critic;epsilon_greedy;D;0.3;0.6;0.15;euclidean;consistent;89.33333333333333;2.0548046676563256;2.8033333333333332;0.12229290885229432
Actor-Critic;epsilon_greedy;E;0.3;0.6;0.15;cosine;consistent;85.66666666666667;0.9428090415820634;3.0366666666666666;0.15369522511198014
Actor-Critic;epsilon_greedy;E;0.3;0.6;0.15;euclidean;consistent;89.33333333333333;2.494438257849294;2.85;0.2779688231918585
Actor-Critic;decaying_epsilon;A;0.3;0.6;0.15;cosine;consistent;77.33333333333333;2.357022603955158;2.6466666666666665;0.020548046676563177
Actor-Critic;decaying_epsilon;A;0.3;0.6;0.15;euclidean;consistent;80.66666666666667;2.0548046676563256;2.73;0.08041558721209874
Actor-Critic;decaying_epsilon;B;0.3;0.6;0.15;cosine;consistent;76.66666666666667;2.8674417556808756;2.9599999999999995;0.18239152027072608
Actor-Critic;decaying_epsilon;B;0.3;0.6;0.15;euclidean;consistent;66.0;3.559026084010437;3.4033333333333338;0.2510422717835031
Actor-Critic;decaying_epsilon;C;0.3;0.6;0.15;cosine;consistent;86.66666666666667;4.0276819911981905;2.9500000000000006;0.11430952132988156
Actor-Critic;decaying_epsilon;C;0.3;0.6;0.15;euclidean;consistent;89.0;2.449489742783178;2.64;0.20607442021431652
Actor-Critic;decaying_epsilon;D;0.3;0.6;0.15;cosine;consistent;90.0;2.160246899469287;2.85;0.14966629547095764
Actor-Critic;decaying_epsilon;D;0.3;0.6;0.15;euclidean;consistent;91.0;2.160246899469287;2.7633333333333336;0.0910433352249844
Actor-Critic;decaying_epsilon;E;0.3;0.6;0.15;cosine;consistent;91.66666666666667;3.39934634239519;3.14;0.008164965809277268
Actor-Critic;decaying_epsilon;E;0.3;0.6;0.15;euclidean;consistent;88.66666666666667;2.6246692913372702;3.0233333333333334;0.17211107524567454
Actor-Critic;ucb;A;0.3;0.6;0.15;cosine;consistent;78.66666666666667;2.8674417556808756;2.706666666666667;0.09285592184789407
Actor-Critic;ucb;A;0.3;0.6;0.15;euclidean;consistent;77.66666666666667;0.9428090415820634;2.6366666666666667;0.0654896090146284
Actor-Critic;ucb;B;0.3;0.6;0.15;cosine;consistent;65.0;0.816496580927726;3.34;0.08981462390204994
Actor-Critic;ucb;B;0.3;0.6;0.15;euclidean;consistent;77.33333333333333;4.109609335312651;2.89;0.19200694431886234
Actor-Critic;ucb;C;0.3;0.6;0.15;cosine;consistent;88.33333333333333;1.247219128924647;2.8733333333333335;0.16779617264870947
Actor-Critic;ucb;C;0.3;0.6;0.15;euclidean;consistent;86.0;1.4142135623730951;2.9266666666666663;0.14522013940527975
Actor-Critic;ucb;D;0.3;0.6;0.15;cosine;consistent;83.66666666666667;2.8674417556808756;3.1133333333333333;0.2737801226450809
Actor-Critic;ucb;D;0.3;0.6;0.15;euclidean;consistent;86.66666666666667;3.858612300930075;2.7600000000000002;0.14445299120013638
Actor-Critic;ucb;E;0.3;0.6;0.15;cosine;consistent;88.0;2.160246899469287;2.866666666666667;0.11264496832477207
Actor-Critic;ucb;E;0.3;0.6;0.15;euclidean;consistent;87.66666666666667;3.7712361663282534;2.8433333333333333;0.12498888839501789
